Timestamp;Server;Groups;PingStatus;Latency;Jitter;Loss;Port53;Port853;Version;Recursion;EDNS;Cookie;DNSSEC;DoH;TLS
2026-01-31 20:27:17;192.203.230.10;ROOT_SERVERS;OK;12.594;1.058;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 20:27:41;198.41.0.4;ROOT_SERVERS;SLOW;158.254;0.529;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 20:27:50;208.67.220.220;OPENDNS;OK;23.759;1.416;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 20:28:00;8.8.4.4;GOOGLE;OK;28.048;2.074;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 20:28:12;1.1.1.1;CLOUDFLARE;OK;14.269;3.636;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 20:28:38;198.97.190.53;ROOT_SERVERS;OK;52.745;2.986;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 20:29:02;192.36.148.17;ROOT_SERVERS;SLOW;182.644;4.098;0;OPEN;CLOSED;REVEALED;CLOSED;OK;OK;UNSUPP;UNSUPP;UNSUPP
2026-01-31 20:29:11;9.9.9.9;QUAD9;OK;14.363;2.281;0;OPEN;OPEN;REVEALED;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 20:29:51;192.112.36.4;ROOT_SERVERS;DOWN;0;0;100;OPEN;CLOSED;HIDDEN;CLOSED;OK;OK;UNSUPP;UNSUPP;UNSUPP
2026-01-31 20:30:01;8.8.8.8;GOOGLE;OK;30.224;2.250;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 20:30:25;192.58.128.30;ROOT_SERVERS;SLOW;151.199;2.186;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 20:30:35;199.9.14.201;ROOT_SERVERS;SLOW;178.428;1.854;0;OPEN;OPEN;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;OK
2026-01-31 20:31:03;193.0.14.129;ROOT_SERVERS;SLOW;222.151;3.837;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 20:31:32;192.5.5.241;ROOT_SERVERS;OK;13.553;2.024;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 20:31:41;208.67.222.222;OPENDNS;OK;32.563;1.782;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 20:32:04;202.12.27.33;ROOT_SERVERS;OK;41.568;5.112;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 20:33:44;199.7.83.42;ROOT_SERVERS;DOWN;0;0;100;CLOSED;CLOSED;HIDDEN;UNKNOWN;UNSUPP;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 20:34:11;199.7.91.13;ROOT_SERVERS;OK;150.589;2.263;0;OPEN;CLOSED;REVEALED;CLOSED;OK;UNSUPP;UNSUPP;UNSUPP;UNSUPP
2026-01-31 20:34:22;1.0.0.1;CLOUDFLARE;OK;12.455;2.732;0;OPEN;OPEN;HIDDEN;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 20:34:31;149.112.112.112;QUAD9;OK;13.534;2.507;0;OPEN;OPEN;REVEALED;OPEN;OK;UNSUPP;OK;OK;OK
2026-01-31 20:34:58;192.33.4.12;ROOT_SERVERS;OK;136.062;0.598;0;OPEN;CLOSED;REVEALED;CLOSED;OK;OK;UNSUPP;UNSUPP;UNSUPP
